M,sigma
5.94872466432, 0.000753331971297
5.99438109736, 0.000623702280534
6.04028905129, 0.000532888616143
6.08654859119, 0.000455297801656
6.08694719848, 0.00040144203168
6.08734583187, 0.000353956694308
6.13396575601, 0.000302419117087
6.18104391353, 0.000250380310661
6.18154991239, 0.000213923888724
6.22889129827, 0.000182775674516
6.27649248889, 0.0001611557048
6.32456099227, 0.000137690759188
6.32507873987, 0.00011764240794
6.42191035415, 9.73990762575e-05
6.42254121962, 8.06391183413e-05
6.47162228304, 7.11005662275e-05
6.5211851875, 6.07480259837e-05
6.52161225908, 5.35623297165e-05
6.57166560164, 4.43455853033e-05
6.62199468763, 3.78886823439e-05
6.67259997456, 3.34069471949e-05
6.67314621368, 2.854275576e-05
6.72425248871, 2.43868109715e-05
6.77563922981, 2.15021704629e-05
6.82764222814, 1.78021818602e-05
6.87993171054, 1.52101096178e-05
6.88060757038, 1.25928281518e-05
6.98582948948, 1.07592596285e-05
7.03933044865, 9.19266636198e-06
7.14697964263, 7.85417563666e-06
7.2561562672, 6.92512947194e-06
7.31184723147, 5.73348697415e-06
7.42366389737, 4.8986672563e-06
7.48039554083, 4.31921904464e-06
7.59478973733, 3.69032266091e-06
7.65295441717, 3.15299622476e-06
7.7114382989, 2.78003804487e-06
7.82936572443, 2.37525286149e-06
7.94896641802, 2.09429154062e-06
8.00984355916, 1.78935392047e-06
8.13246750013, 1.48145062655e-06
8.31952362482, 1.22652982946e-06
8.44688850609, 1.01547455959e-06
8.57620323613, 8.40736650998e-07
8.77332215672, 7.1832187323e-07
8.90748847631, 6.13731199833e-07
8.97570645644, 5.24369366555e-07
9.18215804892, 4.34138443905e-07
9.39335826594, 3.59434018265e-07
9.60941633135, 2.97584365771e-07
9.90508173149, 2.38744219848e-07
10.2098442532, 1.91538296588e-07
10.6037136535, 1.53666208477e-07
10.8476112876, 1.27224076927e-07
11.0969371687, 1.08699718455e-07
11.4381837888, 8.99952011554e-08
11.7012751978, 7.45092659496e-08
12.060908611, 6.36604047491e-08
12.338121408, 5.43911831792e-08
12.6217057759, 4.64715990936e-08
13.0094152165, 4.09746172456e-08
13.4092537228, 3.50085413545e-08
13.7174574287, 2.99111511018e-08
14.1390572929, 2.55559622201e-08
14.6837843523, 2.25330264233e-08
15.2499971231, 1.86556531556e-08
15.8377839942, 1.59393119179e-08
16.4482261749, 1.36184813416e-08
17.2116118494, 1.1635573418e-08
18.0101324805, 1.02592373952e-08
18.8463170061, 8.49387787019e-09
19.5723978635, 7.48916330511e-09
20.6359435018, 6.3987097599e-09
21.5933335925, 5.641826156e-09
22.2559018135, 5.29765099821e-09
23.112963312, 4.82035263719e-09
24.1852729953, 4.25016801981e-09
25.3073317325, 3.74742877882e-09
26.4805805052, 3.51881983987e-09
27.7086747724, 3.20178745271e-09
28.9937245707, 2.91331848712e-09
30.3378746427, 2.73559378907e-09
31.7443395584, 2.56871104615e-09
33.2154644303, 2.48912711311e-09
34.7553345079, 2.33727987549e-09
36.3654022521, 2.33727987549e-09
37.7645756148, 2.26486615445e-09
39.8140596147, 2.19469595892e-09
41.3459214456, 2.12669977986e-09
43.5897651294, 2.06081026179e-09
45.609094703, 2.06081026179e-09
47.7211899861, 2.12669977986e-09
49.9327284992, 2.06081026179e-09
52.6417164575, 2.06081026179e-09
55.0812864552, 1.99696213604e-09
58.0686471501, 2.06081026179e-09
60.7587221286, 2.06081026179e-09
63.5734169104, 2.06081026179e-09
67.0224497603, 2.06081026179e-09
69.5988862854, 2.12669977986e-09
72.2755479075, 2.12669977986e-09
75.051463343, 2.33727987549e-09
78.5282804129, 2.33727987549e-09
82.1661637219, 2.33727987549e-09
85.326142693, 2.33727987549e-09
89.2760189386, 2.48912711311e-09
93.4102702259, 2.56871104615e-09
97.0010914043, 2.65083948661e-09
99.9741919895, 2.65083948661e-09
103.817339483, 2.73559378907e-09
107.808222931, 2.82305790924e-09
111.952521509, 2.91331848712e-09
115.381997026, 3.00646493279e-09
119.817442053, 3.10258951504e-09
124.423391778, 3.20178745271e-09
129.20640064, 3.30415700906e-09
134.173275039, 3.40979958905e-09
139.333364161, 3.40979958905e-09
144.689533174, 3.51881983987e-09
151.389909108, 3.63132575452e-09
156.02492762, 3.86724392183e-09
163.252903032, 3.86724392183e-09
170.810126919, 4.11848910341e-09
180.074098265, 4.25016801981e-09
186.996397967, 4.38605705711e-09
197.138239694, 4.52629082393e-09
204.716508812, 4.67100823268e-09
215.819409477, 4.82035263719e-09
225.810016482, 5.13351891221e-09
236.266971915, 5.29765099821e-09
249.081027483, 5.46703081819e-09
260.61136511, 5.82221015997e-09
272.679923773, 6.00836151443e-09
285.302690015, 6.3987097599e-09
298.514670427, 6.60329332111e-09
309.989991053, 6.81441795624e-09
321.911709296, 6.81441795624e-09
331.767496519, 7.25713367612e-09
344.52674272, 7.25713367612e-09
360.475406917, 7.72861153091e-09
377.16235891, 8.23072012471e-09
394.628235933, 8.49387787019e-09
412.896174055, 9.04570390728e-09
432.023908574, 9.04570390728e-09
452.022948963, 9.63338070416e-09
469.399342098, 9.94138519332e-09
491.136588644, 1.02592373952e-08
510.008214798, 1.09257544327e-08
529.613642493, 1.12750795052e-08
554.139331578, 1.1635573418e-08
579.791279662, 1.23915075704e-08
606.650558992, 1.23915075704e-08
639.531609716, 1.36184813416e-08
669.147450702, 1.40538999675e-08
700.12329863, 1.49669467576e-08
732.557051782, 1.49669467576e-08
760.692659, 1.64489335944e-08
789.934746658, 1.69748492147e-08
826.50202127, 1.80776627842e-08
864.790366464, 1.80776627842e-08
898.034115307, 1.86556531556e-08
925.5438665, 1.92521233976e-08
953.880715239, 2.05028857847e-08
990.54922145, 2.11584169068e-08
